Tabla/ Accion/ Id fila modificada/ Direccion ip/ Fecha/ Usuario/ Nombre del Usuario
Contratos/ CREATE/ 41/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Contratos/ UPDATE/ 41/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Autos/ CREATE/ 98/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Contratos/ CREATE/ 42/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Autos/ CREATE/ 99/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Contratos/ CREATE/ 43/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Turista/ DELETE/ 79/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Turista/ UPDATE/ 80/ 10.8.191.98/ 2017-07-13/ test-user/ usuario de prueba test user
Contratos/ DELETE/ 15/ 10.8.191.98/ 2017-07-13/ luisito/ luisito suarez
Contratos/ DELETE/ 33/ 10.8.191.98/ 2017-07-13/ luisito/ luisito suarez
Turista/ DELETE/ 27/ 10.8.191.98/ 2017-07-13/ luisito/ luisito suarez
RolUsuario/ DELETE/ 1/ 10.8.191.98/ 2017-07-13/ admin/ DefaultAdm default
RolUsuario/ DELETE/ 17/ 10.8.191.98/ 2017-07-13/ admin/ DefaultAdm default
